loan_id,applicant_age,employment_status,annual_income,loan_amount,loan_tenure_months,credit_score,existing_emis,loan_purpose,branch,default_flag,default_probability,risk_flag,risk_tier,alert_text
LN01348,55,Retired,607432,100000,36,532,4,Business,Chennai,1,0.6533333333333333,1,High,"**Risk Tier: High-risk, Business loan application (LN01348)**

The applicant’s credit score of 532 and four existing EMIs raise significant concerns, while their retired status and modest annual income of ₹607,432 further strain repayment capacity for a ₹100,000 business loan.

Before approval, request updated bank statements to verify income stability and assess debt servicing trends."
LN00904,31,Retired,411061,546072,48,532,6,Home,Chennai,1,0.92,1,High,"**Risk Tier: High** for the home loan application (LN00904). The retired applicant’s annual income of ₹411,061 against a loan of ₹546,072 raises affordability concerns, while their credit score of 532 and six existing EMIs signal significant repayment stress. Before approval, request updated income proof or collateral to mitigate default risk."
LN00287,56,Self-Employed,354391,265637,36,653,5,Medical,Hyderabad,1,0.78,1,High,"**Loan ID LN00287 (Medical) is a High-Risk application**—the applicant’s annual income of ₹354,391 is insufficient to cover ₹265,637 loan plus 5 existing EMIs, and their credit score of 653 falls below our risk threshold. Given these constraints, I recommend deferring approval until the applicant provides verifiable proof of additional income or reduces existing liabilities."
LN01920,35,Retired,622314,609750,48,584,4,Medical,Pune,1,0.74,1,High,"**Credit Alert for Loan ID LN01920 (Pune Branch):**

This retired applicant’s medical loan request falls into **Risk Tier 3**, given their low credit score of 584 and reliance on a modest annual income of ₹622,314. The four existing EMIs and high loan-to-income ratio of 98% further strain affordability, while the credit score suggests a history of missed payments. **Request updated bank statements for the last six months before approval** to verify cash flow stability."
LN01159,27,Retired,547530,962300,48,665,2,Home,Hyderabad,1,0.8866666666666667,1,High,"**Risk Tier: High** for the ₹962,300 home loan application (LN01159). The retired applicant’s ₹547,530 annual income falls short of the ₹1.2M threshold for this loan size, and their 665 credit score sits below our 680 minimum, compounded by two existing EMIs. Approve only if the applicant provides a co-applicant with verifiable income or pledges additional collateral to mitigate the shortfall."
LN01388,43,Unemployed,347842,767749,12,590,4,Home,Chennai,1,0.98,1,High,"Loan ID LN01388 for a home loan falls into our high-risk tier given the applicant’s weak profile. With a credit score of 590 and four existing EMIs against an annual income of ₹347,842, the debt-to-income ratio exceeds 85%, raising serious affordability concerns. Before approval, request updated employment verification and a revised income assessment to confirm repayment capacity."
LN01868,58,Unemployed,599440,563571,24,429,4,Home,Delhi,1,0.82,1,High,"**Risk Tier 8 application for a home loan (LN01868)**. The applicant’s credit score of 429 and unemployment status raise significant concerns, compounded by four existing EMIs against an annual income of ₹599,440. Before approval, request updated income documentation and a detailed explanation of the EMI obligations to reassess affordability."
LN00629,38,Retired,213541,824975,60,502,4,Home,Delhi,1,0.9933333333333332,1,High,"**Loan ID LN00629** for a home loan falls into **Tier 4 (High Risk)**. The retired applicant’s income of ₹213,541 is insufficient against the ₹824,975 loan, while their credit score of 502 and four existing EMIs further strain affordability. **Request updated income proof or a guarantor before approval to mitigate default risk.**"
LN01087,36,Self-Employed,641767,626231,60,560,4,Business,Chennai,1,0.96,1,High,"**Loan ID LN01087 (Chennai) poses a high-risk tier application for a business loan.** The applicant’s credit score of 560 and four existing EMIs strain affordability, with annual income of ₹641,767 against a loan request of ₹626,231. Approve only after verifying the business cash flow supports repayment capacity, as current obligations already exceed 40% of income."
LN01492,22,Retired,731683,228618,12,478,4,Vehicle,Delhi,0,0.7133333333333334,1,High,"This application for a vehicle loan (LN01492) falls into the high-risk tier due to the applicant’s weak credit profile. With a score of 478 and four existing EMIs, the debt-to-income ratio is concerning at 55%, while the ₹731,683 income is modest for the loan size. I recommend deferring approval until the applicant provides collateral or a guarantor to mitigate risk."
LN01162,52,Unemployed,661402,508135,60,451,6,Medical,Delhi,1,0.9133333333333332,1,High,"**Risk Tier: High-risk, Medical loan application**

This applicant’s credit score (451) and unemployment status raise significant concerns, compounded by six existing EMIs against an annual income of ₹661,402. Given the urgency of the medical purpose, I recommend requesting additional collateral or a co-applicant to mitigate repayment risk before approval."
LN01149,62,Unemployed,416855,882251,24,715,2,Business,Kolkata,1,0.6666666666666666,1,High,"This application for a business loan (LN01149) falls into the high-risk tier due to the applicant’s unemployment and modest income of ₹416,855 against a loan request of ₹882,251. With two existing EMIs and a credit score of 715, the debt-to-income ratio is concerning, while the lack of stable employment raises repayment sustainability questions. Before approval, request updated income proof or a co-applicant with verifiable earnings to mitigate risk."
LN00227,39,Retired,581604,904450,48,644,3,Vehicle,Hyderabad,1,0.9133333333333332,1,High,"**Loan ID LN00227 (Vehicle) poses a high-risk tier due to the retired applicant’s modest income of ₹581,604 against a ₹904,450 loan, with a credit score of 644 and three existing EMIs straining affordability. The low score and high leverage ratio (1.55x) heighten default risk, while the retired status limits income stability. Before approval, request updated bank statements to verify cash flow adequacy and assess repayment capacity.**"
LN00279,28,Salaried,670956,819793,24,586,2,Vehicle,Mumbai,0,0.7333333333333333,1,High,"**Loan ID LN00279** for a vehicle purchase falls into **Risk Tier 3** due to the applicant’s weak credit score of 586 and high EMI burden, with existing obligations consuming nearly 30% of their annual income of ₹670,956. The ₹819,793 loan amount further strains affordability, leaving minimal cushion for repayment shocks. **Request updated income documentation** to verify stability before approval."
LN01193,24,Self-Employed,535465,406635,24,539,5,Business,Hyderabad,1,0.92,1,High,"**Loan LN01193 (Hyderabad) is classified as a high-risk application for a business loan.** The applicant’s credit score of 539 and five existing EMIs, consuming a significant portion of their ₹535,465 annual income, raise concerns about repayment capacity. **Before approval, request updated bank statements and a detailed cash flow projection to verify income stability and EMI obligations.**"
LN01188,29,Unemployed,441853,342489,60,610,4,Education,Bangalore,0,0.62,1,High,"**Loan ID LN01188** for education financing falls into **High Risk Tier** due to the applicant’s unstable employment and high existing debt burden. With ₹441,853 annual income against ₹342,489 loan and four existing EMIs, debt-to-income ratio exceeds 100%, while a credit score of 610 signals poor repayment history. **Defer approval** until the applicant secures stable employment and reduces existing liabilities to mitigate default risk."
LN01126,24,Salaried,369371,686467,36,682,3,Medical,Bangalore,0,0.6066666666666667,1,High,"**Loan LN01126** for medical expenses falls into **Risk Tier 3** due to the applicant’s high loan-to-income ratio of **186%** and a credit score of **682**, which is below our internal threshold. With three existing EMIs already straining cash flow, the borrower’s ability to absorb additional debt is limited. **Request updated bank statements for the last three months** to verify income stability before proceeding with approval."
LN00549,44,Salaried,568527,655736,60,521,2,Education,Hyderabad,0,0.9333333333333332,1,High,"**Loan ID LN00549** for education falls into **High Risk Tier** due to the applicant’s weak credit profile. With a **521 score** and **₹568,527 income** against a **₹655,736 loan**, the debt-to-income ratio (115%) and low score raise concerns. Before approval, request **collateral or a co-applicant** to mitigate exposure."
LN01585,57,Self-Employed,435493,267257,60,622,6,Business,Kolkata,1,0.82,1,High,"**Risk Tier: High (Tier 3) for a ₹267,257 business loan.**

The applicant’s credit score of 622 and six existing EMIs raise concerns, given their modest annual income of ₹435,493 against the loan size.

Before approval, request updated bank statements to verify cash flow stability and debt servicing capacity."
LN00869,33,Salaried,199712,688621,24,608,2,Education,Bangalore,1,0.9533333333333334,1,High,"The education loan application (LN00869) for ₹688,621 falls into our high-risk tier due to the applicant’s low credit score of 608 and income of ₹199,712 against a debt-to-income ratio exceeding 60%. With two existing EMIs already straining cash flow, the borrower’s ability to service additional debt appears compromised. Before approval, request updated bank statements to verify income stability and assess recent repayment behavior."
LN00366,56,Self-Employed,515448,387949,12,372,6,Home,Chennai,1,0.8533333333333334,1,High,"**Risk Tier: High-risk (Tier 4) for a home loan application.**

The applicant’s credit score of 372 and six existing EMIs straining their ₹515,448 annual income raise significant concerns, with debt obligations likely consuming over 50% of their earnings.

Before approval, request updated bank statements to verify income sustainability and assess recent repayment behavior."
LN01360,47,Salaried,469383,720683,60,563,4,Education,Chennai,1,0.98,1,High,"**Risk Tier: High (Tier 4) for Education Loan LN01360.**

The applicant’s credit score of 563 and four existing EMIs strain affordability, with the loan amount (₹720,683) exceeding annual income (₹469,383) by 53%. Approve only after verifying the co-applicant’s income and collateral coverage to mitigate default risk."
LN00012,28,Retired,602768,439272,48,556,3,Home,Chennai,0,0.6466666666666666,1,High,"**Risk Tier: High-risk, home loan application (LN00012)**

The applicant’s credit score of 556 and retired status with an annual income of ₹602,768 raise concerns, compounded by three existing EMIs. Approve only after verifying stable post-retirement income or a co-applicant with sufficient earnings to offset the ₹439,272 loan exposure."
LN00316,36,Self-Employed,379844,733845,12,528,3,Vehicle,Kolkata,1,0.94,1,High,"Loan ID LN00316 for a vehicle loan falls into the high-risk tier due to the applicant’s weak credit score of 528 and income coverage of just 1.9x the EMI burden. With existing EMIs already consuming a significant portion of income and the loan amount exceeding annual earnings, repayment capacity appears highly constrained. Before approval, request updated bank statements to verify cash flow stability and confirm EMI affordability."
LN01584,63,Self-Employed,411393,635763,24,631,2,Home,Bangalore,1,0.6466666666666666,1,High,"Loan ID LN01584 for a home loan falls into our high-risk tier. The applicant’s credit score of 631 and low annual income of ₹411,393 against a loan of ₹635,763 raise concerns, compounded by two existing EMIs. Before approval, request updated bank statements to verify cash flow stability and assess repayment capacity."
LN01581,34,Retired,521556,766009,12,492,3,Education,Kolkata,1,0.98,1,High,"**Risk Tier: High** for the education loan application (LN01581). The retired applicant’s income of ₹5.2L annually against a loan of ₹7.6L and a low credit score of 492 raise repayment concerns, compounded by three existing EMIs. Before approval, request updated income proof and a guarantor with stable cash flows to mitigate risk."
LN01043,26,Self-Employed,249698,482582,36,483,3,Education,Delhi,1,0.9666666666666668,1,High,"**Risk Tier: High Risk (Tier 4) for Education Loan (LN01043)**

The applicant’s credit score of 483 and high existing EMI burden of ₹X (3 active loans) raise significant concerns, especially given the modest annual income of ₹249,698 against a loan request of ₹482,582.

Before approval, request updated bank statements to verify income stability and assess debt servicing capacity."
LN00345,57,Self-Employed,150269,615159,12,709,6,Education,Mumbai,1,0.7533333333333333,1,High,"**Risk Tier: High (Tier 4) for Education Loan (LN00345).**

The applicant’s annual income of ₹150,269 against a loan of ₹615,159 raises severe affordability concerns, while six existing EMIs strain repayment capacity further. **Recommend deferring approval until the applicant provides a co-applicant or collateral to mitigate risk.**"
LN00321,34,Self-Employed,383356,422207,24,446,6,Education,Pune,1,0.9933333333333332,1,High,"**Risk Tier: High Risk – Education Loan**

The applicant’s credit score of 446 and six existing EMIs raise significant concerns, while their annual income of ₹383,356 barely covers the ₹422,207 loan. Given these vulnerabilities, I recommend deferring approval until the applicant provides a guarantor or collateral to mitigate repayment risk."
LN00577,44,Self-Employed,565754,513904,24,526,2,Medical,Pune,1,0.6733333333333333,1,High,"**Risk Tier: High | Loan Purpose: Medical**

The applicant’s credit score of 526 and ₹565,754 annual income raise concerns, especially with two existing EMIs straining cash flow. Given the medical urgency, I recommend verifying the EMI-to-income ratio before approval to assess repayment capacity."
LN00041,44,Unemployed,590351,532343,36,632,5,Education,Pune,1,0.8466666666666667,1,High,"**Risk Tier: High (Tier 4) for a ₹532,343 education loan.**

The applicant’s credit score of 632 and five existing EMIs strain affordability, with income of ₹590,351 barely covering obligations. **Recommend deferring approval until income stability is verified.**"
LN00908,56,Self-Employed,556949,875679,12,586,2,Home,Kolkata,1,0.9266666666666666,1,High,"**Risk Tier: High Risk** for the home loan application (LN00908). The applicant’s credit score of 586 and existing EMIs consuming ₹18,000 monthly against an income of ₹556,949 raise concerns about repayment capacity. Before approval, request updated bank statements for the last six months to verify cash flow consistency and EMI obligations."
LN01615,37,Unemployed,771340,782947,48,528,4,Vehicle,Mumbai,1,0.84,1,High,"**Risk Tier: High Risk – Vehicle Loan Application**

The applicant’s profile raises concerns with an unemployed status despite an annual income of ₹771,340, a low credit score of 528, and four existing EMIs straining cash flow. Given these red flags, I recommend conducting a detailed income verification and debt-to-income assessment before approval to mitigate potential default risk."
LN01047,46,Unemployed,331428,399207,24,573,5,Vehicle,Mumbai,1,0.9333333333333332,1,High,"This application for a vehicle loan (Loan ID: LN01047) falls into the high-risk tier due to the applicant’s weak profile. With an annual income of just ₹331,428, existing EMIs consuming 5 obligations, and a credit score of 573, the borrower’s capacity and creditworthiness are severely compromised. Before approval, request updated employment verification and a detailed repayment plan to mitigate default risk."
LN01120,27,Self-Employed,640733,1065941,24,777,5,Education,Hyderabad,1,0.72,1,High,"**Loan ID LN01120 (Education) falls under High Risk Tier due to the applicant’s high existing EMI burden of ₹53,250 against an annual income of ₹6.41 lakh and a credit score of 777, which, while strong, is offset by five active loans.** The debt-to-income ratio exceeds prudent limits, and the loan-to-income ratio of 1.66x further strains repayment capacity. **Before approval, request a detailed repayment plan from the applicant to justify the additional liability.**"
LN00134,53,Self-Employed,761512,634719,60,498,2,Home,Hyderabad,1,0.84,1,High,"**Loan LN00134 (Home) is classified as High Risk due to the applicant’s low credit score of 498 and high existing EMI burden.** The ₹761,512 income appears insufficient to comfortably service the ₹634,719 loan alongside two existing EMIs, raising affordability concerns. **Before approval, request updated bank statements to verify cash flow stability and confirm no undisclosed liabilities.**"
LN00414,45,Salaried,502516,653857,60,648,2,Education,Kolkata,0,0.6933333333333334,1,High,"**Loan ID LN00414** for education financing falls into **Tier 3 risk** due to the applicant’s low credit score of 648 and high EMI burden relative to income. With an annual income of ₹502,516 and existing EMIs already consuming a significant portion, the debt-to-income ratio raises concerns, compounded by the loan amount (₹653,857) exceeding 1.3x annual income. **Request updated employment verification and income proof** before approval to reassess repayment capacity."
LN01805,48,Retired,483667,637311,24,511,6,Business,Chennai,1,0.98,1,High,"**Risk Tier 5 – Business Loan Application (LN01805)**

This ₹637,311 business loan for a retired 48-year-old with a low credit score of 511 raises concerns, particularly given ₹483,667 annual income supporting six existing EMIs. The high EMI burden (likely exceeding 50% of income) and weak credit history suggest elevated default risk. Before approval, request updated bank statements and a detailed repayment plan from the applicant to reassess affordability."
LN01122,36,Self-Employed,333931,100000,48,519,3,Education,Delhi,1,0.8933333333333333,1,High,"**Risk Tier: High** for the ₹100,000 education loan (LN01122). The applicant’s credit score of 519 and ₹333,931 annual income raise concerns, especially with three existing EMIs straining cash flow. Before approval, request updated bank statements to verify repayment capacity and assess discretionary spending."
LN00937,56,Unemployed,440137,470072,60,510,6,Vehicle,Chennai,1,0.9066666666666666,1,High,"**Risk Tier: High-risk, Vehicle Loan**

This application (LN00937) raises concerns due to the applicant’s weak credit score of 510 and six existing EMIs, which strain affordability given their annual income of ₹440,137 against a loan request of ₹470,072. The unemployed status further heightens repayment risk.

**Action:** Request updated income proof or collateral before approval to mitigate exposure."
LN01118,64,Self-Employed,343073,382930,60,407,5,Home,Bangalore,1,0.8866666666666667,1,High,"**Loan LN01118 (Home) poses High Risk due to the applicant’s weak profile.** The credit score of 407—well below our threshold—and five existing EMIs consuming a disproportionate share of their ₹343,073 annual income raise serious concerns about repayment capacity. **Defer approval until the applicant provides audited financials and a detailed repayment plan** to justify the ₹382,930 exposure."
LN00539,33,Unemployed,513624,278683,60,560,5,Home,Delhi,1,0.96,1,High,"**Risk Tier: High-risk home loan application (LN00539).**

The applicant’s profile raises concerns with a low credit score of 560 and five existing EMIs, despite an annual income of just ₹513,624. Before approval, verify the stability of income sources and assess debt-to-income sustainability."
LN01101,57,Self-Employed,485818,832444,24,471,5,Vehicle,Bangalore,1,0.9733333333333334,1,High,"Loan ID LN01101 for a vehicle purchase falls into our High-Risk tier given the applicant’s thin credit history. With a score of 471 and five existing EMIs consuming a significant portion of their ₹485,818 annual income, the debt burden is concerning. Before approval, request updated bank statements to verify cash flow stability and confirm EMI affordability."
LN00490,50,Salaried,374691,802516,60,526,3,Medical,Hyderabad,1,0.9466666666666668,1,High,"**Loan ID LN00490 (Medical) is flagged as Tier 3 due to high risk.** The applicant’s credit score of 526 and existing EMIs consuming over 50% of their ₹374,691 annual income raise serious concerns about repayment capacity. Before approval, request updated bank statements to verify cash flow stability and assess discretionary expenses."
LN01600,44,Salaried,420616,672770,24,604,2,Education,Pune,0,0.92,1,High,"**Risk Tier: High (Tier 4) for a ₹672,770 education loan.**

The applicant’s annual income of ₹420,616 against a loan of ₹672,770 raises affordability concerns, while a credit score of 604 and two existing EMIs further strain repayment capacity.

**Recommend deferring approval until the applicant provides a co-applicant with stronger financials or additional collateral to mitigate risk.**"
LN00212,60,Salaried,558864,606238,24,472,6,Vehicle,Chennai,1,0.92,1,High,"**Loan ID LN00212 (Vehicle) poses a high-risk tier due to the applicant’s weak credit score of 472 and six existing EMIs straining their ₹558,864 annual income. The ₹606,238 loan amount further exceeds prudent lending limits relative to their modest income, compounding repayment risk. Before approval, request updated bank statements to verify cash flow stability and assess debt servicing capacity.**"
LN01148,33,Retired,452089,301227,60,549,2,Education,Mumbai,1,0.8,1,High,"**Credit Alert for Loan LN0148 (Mumbai Branch):**

This Tier 3 education loan application for ₹3,01,227 poses elevated risk given the retired borrower’s modest annual income of ₹4.52 lakh and a weak credit score of 549. With two existing EMIs already straining cash flow, the high debt-to-income ratio and limited repayment capacity raise concerns. Approve only after verifying a co-applicant with stable income or securing additional collateral to mitigate default risk."
LN00957,55,Salaried,501624,656396,36,609,4,Medical,Hyderabad,0,0.7666666666666667,1,High,"**Loan ID LN00957** for medical expenses falls into **Risk Tier 3**, given the applicant’s thin credit history and high existing obligations. With an annual income of ₹501,624 and four active EMIs, the debt-to-income ratio exceeds 40%, while a credit score of 609 signals weak repayment capacity. Before approval, request updated bank statements to verify cash flow stability and assess the urgency of the medical need against repayment feasibility."
LN00108,32,Self-Employed,421969,789314,36,694,3,Business,Pune,1,0.8066666666666666,1,High,"**Loan LN00108 (Business) is classified as Tier 3 due to a thin credit file and high leverage—debt-to-income at 58% against a 694 score. The applicant’s ₹421,969 income strains affordability with three existing EMIs, while the ₹789,314 loan exceeds 1.8x annual earnings. Verify updated bank statements for the last six months before approval to assess cash flow stability.**"
LN00206,43,Self-Employed,481153,253020,24,596,5,Business,Chennai,1,0.92,1,High,"**Risk Tier: Subprime (Tier 4) for a ₹253,020 business loan.**

The applicant’s credit score of 596 and five existing EMIs raise concerns, given their modest annual income of ₹481,153 against the loan size.

Before approval, request updated bank statements to verify cash flow stability and confirm EMI obligations."
LN00993,35,Self-Employed,628352,850266,36,636,6,Home,Pune,1,0.86,1,High,"**Risk Tier: High (Tier 3) for home loan (₹850,266).**

The applicant’s credit score (636) and six existing EMIs strain affordability, with income of ₹628,352 barely covering obligations.

**Recommend deferring approval until debt-to-income ratio improves below 40% or additional collateral is pledged.**"
LN00169,46,Unemployed,344523,512605,48,682,2,Education,Delhi,1,0.6466666666666666,1,High,"**Loan ID LN00169 (Education) poses High Risk** due to the applicant’s unemployment and low annual income of ₹344,523 against a loan request of ₹512,605, compounded by a credit score of 682. The absence of employment and high EMI burden (₹2 existing) further strain repayment capacity. **Request updated employment proof or a co-applicant before approval.**"
LN01545,32,Unemployed,454463,701831,48,549,2,Vehicle,Mumbai,1,0.9,1,High,"**Risk Tier: High Risk – Vehicle Loan Application**

This applicant’s profile raises concerns with a low credit score of 549 and unemployment despite an annual income of ₹454,463, alongside existing EMIs. Given these red flags, I recommend verifying the income source and employment stability before proceeding with approval to mitigate default risk."
LN01288,52,Retired,521846,330744,24,460,5,Vehicle,Bangalore,1,0.86,1,High,"**Risk Tier 5 – Vehicle loan application for LN01288.** The applicant’s credit score of 460 and five existing EMIs raise significant concerns, given their retired status and modest annual income of ₹521,846 against a loan request of ₹330,744. Before approval, request updated income documentation to verify repayment capacity, as current figures suggest limited financial flexibility."
LN01641,31,Self-Employed,189042,399641,60,505,2,Home,Delhi,1,0.8733333333333333,1,High,"This application for a home loan (LN01641) falls into our High-Risk tier due to the applicant’s weak credit score of 505 and low annual income of ₹189,042 against a loan request of ₹399,641. With two existing EMIs already straining cash flow, the debt-to-income ratio is concerning, and the self-employed income lacks stability verification. Before approval, request a detailed six-month bank statement to assess actual inflows and outflows, ensuring repayment capacity isn’t overstated."
LN01084,34,Retired,311675,751963,12,675,4,Medical,Hyderabad,1,0.7666666666666667,1,High,"**Loan ID LN01084 (Medical) is a High-Risk application** due to the retired applicant’s low annual income (₹311,675) against a loan request of ₹751,963, and a credit score of 675 with four existing EMIs. The mismatch between income and loan size, compounded by limited repayment capacity post-retirement, raises sustainability concerns. **Request an immediate guarantor with stable income or collateral coverage before approval** to mitigate default risk."
LN00222,37,Unemployed,311515,657301,36,500,4,Education,Chennai,1,1.0,1,High,"**Loan ID LN00222 (Education) poses a high-risk tier due to the applicant’s unemployment, ₹311,515 annual income against a ₹657,301 loan, and a weak 500 credit score.** The most concerning factors are the four existing EMIs straining cash flow and the negative credit history, which suggests repayment challenges. **Before approval, request a detailed repayment plan from the applicant with third-party guarantor support.**"
